source,hour_index,time,k,requested_fraction,recent_resources,min_recent_resources_selected,max_recent_resources_selected
hourly,72,2026-06-19 00:00:00+00:00,76,0.25,302,72,72
hourly,72,2026-06-19 00:00:00+00:00,151,0.5,302,138,143
hourly,72,2026-06-19 00:00:00+00:00,302,1.0,302,250,278
hourly,73,2026-06-19 01:00:00+00:00,25,0.1,249,24,25
hourly,73,2026-06-19 01:00:00+00:00,63,0.25,249,54,57
hourly,73,2026-06-19 01:00:00+00:00,125,0.5,249,97,105
hourly,73,2026-06-19 01:00:00+00:00,249,1.0,249,163,195
hourly,74,2026-06-19 02:00:00+00:00,15,0.1,148,13,13
hourly,74,2026-06-19 02:00:00+00:00,37,0.25,148,23,24
hourly,74,2026-06-19 02:00:00+00:00,74,0.5,148,41,44
hourly,74,2026-06-19 02:00:00+00:00,148,1.0,148,79,88
hourly,75,2026-06-19 03:00:00+00:00,5,0.1,48,4,4
hourly,75,2026-06-19 03:00:00+00:00,12,0.25,48,6,7
hourly,75,2026-06-19 03:00:00+00:00,24,0.5,48,8,9
hourly,75,2026-06-19 03:00:00+00:00,48,1.0,48,12,13
hourly,76,2026-06-19 04:00:00+00:00,3,0.1,24,3,3
hourly,76,2026-06-19 04:00:00+00:00,6,0.25,24,3,3
hourly,76,2026-06-19 04:00:00+00:00,12,0.5,24,3,3
hourly,76,2026-06-19 04:00:00+00:00,24,1.0,24,4,4
hourly,77,2026-06-19 05:00:00+00:00,3,0.1,24,3,3
hourly,77,2026-06-19 05:00:00+00:00,6,0.25,24,3,3
hourly,77,2026-06-19 05:00:00+00:00,12,0.5,24,3,3
hourly,77,2026-06-19 05:00:00+00:00,24,1.0,24,4,4
hourly,78,2026-06-19 06:00:00+00:00,3,0.1,24,2,2
hourly,78,2026-06-19 06:00:00+00:00,6,0.25,24,2,2
hourly,78,2026-06-19 06:00:00+00:00,12,0.5,24,2,2
hourly,78,2026-06-19 06:00:00+00:00,24,1.0,24,3,3
hourly,79,2026-06-19 07:00:00+00:00,2,0.1,18,1,1
hourly,79,2026-06-19 07:00:00+00:00,5,0.25,18,2,2
hourly,79,2026-06-19 07:00:00+00:00,9,0.5,18,2,2
hourly,79,2026-06-19 07:00:00+00:00,18,1.0,18,2,2
hourly,80,2026-06-19 08:00:00+00:00,2,0.1,13,0,0
hourly,80,2026-06-19 08:00:00+00:00,4,0.25,13,0,0
hourly,80,2026-06-19 08:00:00+00:00,7,0.5,13,0,0
hourly,80,2026-06-19 08:00:00+00:00,13,1.0,13,0,0
hourly,81,2026-06-19 09:00:00+00:00,2,0.1,14,0,0
hourly,81,2026-06-19 09:00:00+00:00,4,0.25,14,0,0
hourly,81,2026-06-19 09:00:00+00:00,7,0.5,14,0,0
hourly,81,2026-06-19 09:00:00+00:00,14,1.0,14,0,0
hourly,82,2026-06-19 10:00:00+00:00,1,0.1,8,0,0
hourly,82,2026-06-19 10:00:00+00:00,2,0.25,8,0,0
hourly,82,2026-06-19 10:00:00+00:00,4,0.5,8,0,0
hourly,82,2026-06-19 10:00:00+00:00,8,1.0,8,0,0
hourly,83,2026-06-19 11:00:00+00:00,1,0.1,7,0,0
hourly,83,2026-06-19 11:00:00+00:00,2,0.25,7,0,0
hourly,83,2026-06-19 11:00:00+00:00,4,0.5,7,0,0
hourly,83,2026-06-19 11:00:00+00:00,7,1.0,7,0,0
hourly,84,2026-06-19 12:00:00+00:00,1,0.1,8,0,0
hourly,84,2026-06-19 12:00:00+00:00,2,0.25,8,0,0
hourly,84,2026-06-19 12:00:00+00:00,4,0.5,8,0,0
hourly,84,2026-06-19 12:00:00+00:00,8,1.0,8,0,0
hourly,85,2026-06-19 13:00:00+00:00,2,0.1,17,0,0
hourly,85,2026-06-19 13:00:00+00:00,5,0.25,17,0,0
hourly,85,2026-06-19 13:00:00+00:00,9,0.5,17,0,0
hourly,85,2026-06-19 13:00:00+00:00,17,1.0,17,1,1
hourly,86,2026-06-19 14:00:00+00:00,2,0.1,17,0,0
hourly,86,2026-06-19 14:00:00+00:00,5,0.25,17,0,0
hourly,86,2026-06-19 14:00:00+00:00,9,0.5,17,0,0
hourly,86,2026-06-19 14:00:00+00:00,17,1.0,17,0,0
hourly,87,2026-06-19 15:00:00+00:00,2,0.1,18,0,0
hourly,87,2026-06-19 15:00:00+00:00,5,0.25,18,0,0
hourly,87,2026-06-19 15:00:00+00:00,9,0.5,18,0,0
hourly,87,2026-06-19 15:00:00+00:00,18,1.0,18,0,0
hourly,88,2026-06-19 16:00:00+00:00,2,0.1,13,0,0
hourly,88,2026-06-19 16:00:00+00:00,4,0.25,13,0,0
hourly,88,2026-06-19 16:00:00+00:00,7,0.5,13,0,0
hourly,88,2026-06-19 16:00:00+00:00,13,1.0,13,0,0
hourly,89,2026-06-19 17:00:00+00:00,2,0.1,13,0,0
hourly,89,2026-06-19 17:00:00+00:00,4,0.25,13,0,0
hourly,89,2026-06-19 17:00:00+00:00,7,0.5,13,0,0
hourly,89,2026-06-19 17:00:00+00:00,13,1.0,13,0,0
hourly,90,2026-06-19 18:00:00+00:00,1,0.1,10,0,0
hourly,90,2026-06-19 18:00:00+00:00,3,0.25,10,0,0
hourly,90,2026-06-19 18:00:00+00:00,5,0.5,10,0,0
hourly,90,2026-06-19 18:00:00+00:00,10,1.0,10,0,0
hourly,91,2026-06-19 19:00:00+00:00,1,0.1,5,0,0
hourly,91,2026-06-19 19:00:00+00:00,2,0.25,5,0,0
hourly,91,2026-06-19 19:00:00+00:00,3,0.5,5,0,0
hourly,91,2026-06-19 19:00:00+00:00,5,1.0,5,0,0
hourly,92,2026-06-19 20:00:00+00:00,1,0.1,8,0,0
hourly,92,2026-06-19 20:00:00+00:00,2,0.25,8,0,0
hourly,92,2026-06-19 20:00:00+00:00,4,0.5,8,0,0
hourly,92,2026-06-19 20:00:00+00:00,8,1.0,8,0,0
hourly,93,2026-06-19 21:00:00+00:00,2,0.1,15,0,0
hourly,93,2026-06-19 21:00:00+00:00,4,0.25,15,1,1
hourly,93,2026-06-19 21:00:00+00:00,8,0.5,15,1,1
hourly,93,2026-06-19 21:00:00+00:00,15,1.0,15,2,3
hourly,94,2026-06-19 22:00:00+00:00,2,0.1,17,1,1
hourly,94,2026-06-19 22:00:00+00:00,5,0.25,17,2,2
hourly,94,2026-06-19 22:00:00+00:00,9,0.5,17,3,3
hourly,94,2026-06-19 22:00:00+00:00,17,1.0,17,4,5
hourly,95,2026-06-19 23:00:00+00:00,2,0.1,13,1,1
hourly,95,2026-06-19 23:00:00+00:00,4,0.25,13,1,1
hourly,95,2026-06-19 23:00:00+00:00,7,0.5,13,2,3
hourly,95,2026-06-19 23:00:00+00:00,13,1.0,13,3,4
hourly,96,2026-06-20 00:00:00+00:00,1,0.1,3,0,0
hourly,96,2026-06-20 00:00:00+00:00,1,0.25,3,0,0
hourly,96,2026-06-20 00:00:00+00:00,2,0.5,3,0,0
hourly,96,2026-06-20 00:00:00+00:00,3,1.0,3,0,0
hourly,97,2026-06-20 01:00:00+00:00,1,0.1,4,0,0
hourly,97,2026-06-20 01:00:00+00:00,1,0.25,4,0,0
hourly,97,2026-06-20 01:00:00+00:00,2,0.5,4,1,1
hourly,97,2026-06-20 01:00:00+00:00,4,1.0,4,2,2
hourly,98,2026-06-20 02:00:00+00:00,2,0.1,18,2,2
hourly,98,2026-06-20 02:00:00+00:00,5,0.25,18,4,5
hourly,98,2026-06-20 02:00:00+00:00,9,0.5,18,5,6
hourly,98,2026-06-20 02:00:00+00:00,18,1.0,18,6,12
hourly,99,2026-06-20 03:00:00+00:00,3,0.1,25,3,3
hourly,99,2026-06-20 03:00:00+00:00,7,0.25,25,7,7
hourly,99,2026-06-20 03:00:00+00:00,13,0.5,25,10,12
hourly,99,2026-06-20 03:00:00+00:00,25,1.0,25,12,19
hourly,100,2026-06-20 04:00:00+00:00,4,0.1,31,4,4
hourly,100,2026-06-20 04:00:00+00:00,8,0.25,31,8,8
hourly,100,2026-06-20 04:00:00+00:00,16,0.5,31,12,16
hourly,100,2026-06-20 04:00:00+00:00,31,1.0,31,16,25
hourly,101,2026-06-20 05:00:00+00:00,4,0.1,33,4,4
hourly,101,2026-06-20 05:00:00+00:00,9,0.25,33,9,9
hourly,101,2026-06-20 05:00:00+00:00,17,0.5,33,13,17
hourly,101,2026-06-20 05:00:00+00:00,33,1.0,33,17,28
hourly,102,2026-06-20 06:00:00+00:00,4,0.1,37,4,4
hourly,102,2026-06-20 06:00:00+00:00,10,0.25,37,10,10
hourly,102,2026-06-20 06:00:00+00:00,19,0.5,37,17,19
hourly,102,2026-06-20 06:00:00+00:00,37,1.0,37,23,33
hourly,103,2026-06-20 07:00:00+00:00,5,0.1,42,5,5
hourly,103,2026-06-20 07:00:00+00:00,11,0.25,42,11,11
hourly,103,2026-06-20 07:00:00+00:00,21,0.5,42,21,21
hourly,103,2026-06-20 07:00:00+00:00,42,1.0,42,28,38
hourly,104,2026-06-20 08:00:00+00:00,4,0.1,34,4,4
